CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DNK,2007,36,f,3,79,80,147,213,522,0.000316194546431299,0.00229995545127557,0.0172495331025919,0.0474461546424138,0.147949219401339,0.00984681601059381,0,0,0
DNK,2007,36,b,6,210,186,268,297,967,0.000308421222395056,0.00302854177728555,0.0209564188002371,0.0505538018568666,0.14473032905035,0.00920749350174373,0,0,0
DNK,2007,37,m,1,127,95,143,102,468,0.000100340308833971,0.00362942069893359,0.0224175269659125,0.0649104878575644,0.166555308463272,0.00899808042383434,0,0,0
DNK,2007,37,f,3,83,68,143,241,538,0.000316194546431299,0.00241640889184649,0.0146621031372031,0.0461551028154093,0.16739794307851,0.0101486341258611,0,0,0
DNK,2007,37,b,4,210,163,286,343,1006,0.000205614148263371,0.00302854177728555,0.0183650336797777,0.0539492064591934,0.167146474290471,0.00957884018899089,0,0,0
DNK,2007,38,m,12,145,94,178,91,520,0.00120408370600766,0.00414382678224701,0.0221815529978503,0.0807976702003249,0.148593461472135,0.00999786713759371,0,0,0
DNK,2007,38,f,2,78,65,122,213,480,0.000210796364287533,0.00227084209113285,0.0140152456458559,0.0393770807236359,0.147949219401339,0.0090545434580173,0,0,0
DNK,2007,38,b,14,223,159,300,304,1000,0.000719649518921797,0.00321602293492703,0.0179143580066543,0.0565900767054477,0.14814148158689,0.0095217099294144,0,0,0
DNK,2007,39,m,3,127,97,128,100,455,0.000301020926501914,0.00362942069893359,0.022889474902037,0.0581016954249528,0.163289518101247,0.0087481337453945,0,0,0
DNK,2007,39,f,6,65,68,160,196,495,0.000632389092862598,0.00189236840927737,0.0146621031372031,0.0516420730801783,0.136141065740199,0.00933749794108034,0,0,0
DNK,2007,39,b,9,192,165,288,296,950,0.000462631833592584,0.00276895248208964,0.0185903715163394,0.0543264736372298,0.14424302154513,0.00904562443294368,0,0,0
DNK,2007,40,m,5,121,122,143,110,501,0.000501701544169856,0.00345795200449578,0.0287888241035929,0.0649104878575644,0.179618469911372,0.00963256045372009,0,0,0
DNK,2007,40,f,4,66,71,144,194,479,0.000421592728575065,0.0019214817694201,0.0153089606285503,0.0464778657721605,0.13475187119183,0.0090356798258131,0,0,0
DNK,2007,40,b,9,187,193,287,304,980,0.000462631833592584,0.00269684434453523,0.021745101228203,0.0541378400482116,0.14814148158689,0.00933127573082611,0,0,0
DNK,2007,41,m,0,135,112,140,90,477,0,0.00385804562485066,0.0264290844229705,0.0635487293710421,0.146960566291122,0.009171120431985,0,0,0
DNK,2007,41,f,1,84,73,165,185,508,0.000105398182143766,0.00244552225198922,0.0157401989561151,0.0532558878639339,0.128500495724168,0.00958272515973498,0,0,0
DNK,2007,41,b,1,219,185,305,275,985,5.14035370658427e-05,0.0031583364248835,0.0208437498819563,0.0575332446505385,0.134009563935509,0.00937888428047319,0,0,0
DNK,2007,42,m,2,130,99,148,93,472,0.000200680617667943,0.00371515504615249,0.0233614228381615,0.0671800853351016,0.15185925183416,0.00907498709412352,0,0,0
DNK,2007,42,f,2,75,66,127,205,475,0.000210796364287533,0.00218350201070466,0.0142308648096383,0.0409908955073915,0.142392441207862,0.00896022529699629,0,0,0
DNK,2007,42,b,4,205,165,275,298,947,0.000205614148263371,0.00295643363973113,0.0185903715163394,0.0518742369799937,0.14521763655557,0.00901705930315544,0,0,0
DNK,2007,43,m,5,130,102,155,115,507,0.000501701544169856,0.00371515504615249,0.0240693447423482,0.0703575218036537,0.187782945816434,0.00974792045915387,0,0,0
DNK,2007,43,f,2,80,70,161,201,514,0.000210796364287533,0.0023290688114183,0.0150933414647679,0.0519648360369294,0.139614052111123,0.00969590695296019,0,0,0
DNK,2007,43,b,7,210,172,316,316,1021,0.000359824759460899,0.00302854177728555,0.0193790539443053,0.0596082141297382,0.153989171649531,0.0097216658379321,0,0,0
DNK,2007,44,m,3,121,103,144,108,479,0.000301020926501914,0.00345795200449578,0.0243053187104104,0.0653644073530719,0.176352679549347,0.00920957376712959,0,0,0
DNK,2007,44,f,2,75,102,162,213,554,0.000210796364287533,0.00218350201070466,0.0219931547058046,0.0522875989936805,0.147949219401339,0.0104504522411283,0,0,0
DNK,2007,44,b,5,196,205,306,321,1033,0.000257017685329213,0.00282663899213318,0.0230971282475732,0.0577218782395566,0.156425709175631,0.00983592635708508,0,0,0
DNK,2007,45,m,4,143,113,152,131,543,0.000401361235335885,0.00408667055076774,0.0266650583910328,0.0689957633171314,0.213909268712633,0.0104400804917565,0,0,0
DNK,2007,45,f,6,83,88,147,210,534,0.000632389092862598,0.00241640889184649,0.0189744864128511,0.0474461546424138,0.145865427578785,0.0100731795970442,0,0,0
DNK,2007,45,b,10,226,201,299,341,1077,0.000514035370658427,0.00325928781745968,0.0226464525744498,0.0564014431164295,0.166171859280031,0.0102548815939793,0,0,0
DNK,2007,46,m,3,132,117,161,117,530,0.000301020926501914,0.00377231127763176,0.0276089542632817,0.0730810387766984,0.191048736178459,0.0101901338133167,0,0,0
DNK,2007,46,f,6,85,72,148,222,533,0.000632389092862598,0.00247463561213195,0.0155245797923327,0.0477689175991649,0.154200594869001,0.01005431596484,0,0,0
DNK,2007,46,b,9,217,189,309,339,1063,0.000462631833592584,0.00312949316986173,0.0212944255550796,0.0582877790066111,0.165197244269591,0.0101215776549675,0,0,0
DNK,2007,47,m,1,124,107,140,101,473,0.000100340308833971,0.00354368635171468,0.0252492145826594,0.0635487293710421,0.164922413282259,0.00909421376169582,0,0,0
DNK,2007,47,f,2,86,80,133,214,515,0.000210796364287533,0.00250374897227468,0.0172495331025919,0.0429274732478982,0.148643816675524,0.0097147705851644,0,0,0
DNK,2007,47,b,3,210,187,273,315,988,0.000154210611197528,0.00302854177728555,0.021069087718518,0.0514969698019574,0.15350186414431,0.00940744941026143,0,0,0
DNK,2007,48,m,4,138,111,158,123,534,0.000401361235335885,0.00394377997206957,0.0261931104549083,0.0717192802901761,0.200846107264534,0.0102670404836058,0,0,0
DNK,2007,48,f,2,98,99,155,224,578,0.000210796364287533,0.00285310929398742,0.0213462972144575,0.0500282582964227,0.155589789417371,0.0109031794140292,0,0,0
DNK,2007,48,b,6,236,210,313,347,1112,0.000308421222395056,0.00340350409256852,0.0236604728389774,0.0590423133626837,0.169095704311352,0.0105881414415088,0,0,0
