"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2009M04D23",134
" ","2009M04D24",147
" ","2009M04D25",164
" ","2009M04D26",145
" ","2009M04D27",154
" ","2009M04D28",154
" ","2009M04D29",159
" ","2009M04D30",137
" ","2009M05D01",145
" ","2009M05D02",138
" ","2009M05D03",166
" ","2009M05D04",157
" ","2009M05D05",140
" ","2009M05D06",114
" ","2009M05D07",139
" ","2009M05D08",138
" ","2009M05D09",142
" ","2009M05D10",123
" ","2009M05D11",129
" ","2009M05D12",159
" ","2009M05D13",168
" ","2009M05D14",152
" ","2009M05D15",155
" ","2009M05D16",148
" ","2009M05D17",142
" ","2009M05D18",150
" ","2009M05D19",134
" ","2009M05D20",163
" ","2009M05D21",119
" ","2009M05D22",125
" ","2009M05D23",141
" ","2009M05D24",134
" ","2009M05D25",146
" ","2009M05D26",142
" ","2009M05D27",131
" ","2009M05D28",141
" ","2009M05D29",145
" ","2009M05D30",143
" ","2009M05D31",138
" ","2009M06D01",160
" ","2009M06D02",148
" ","2009M06D03",144
" ","2009M06D04",142
" ","2009M06D05",146
" ","2009M06D06",140
" ","2009M06D07",96
" ","2009M06D08",157
" ","2009M06D09",138
" ","2009M06D10",131
" ","2009M06D11",131
" ","2009M06D12",132
" ","2009M06D13",127
" ","2009M06D14",131
" ","2009M06D15",144
" ","2009M06D16",140
" ","2009M06D17",140
" ","2009M06D18",159
" ","2009M06D19",137
" ","2009M06D20",146
" ","2009M06D21",132
" ","2009M06D22",140
" ","2009M06D23",140
" ","2009M06D24",142
" ","2009M06D25",155
" ","2009M06D26",140
" ","2009M06D27",144
" ","2009M06D28",121
" ","2009M06D29",125
" ","2009M06D30",143
" ","2009M07D01",178
" ","2009M07D02",143
" ","2009M07D03",155
" ","2009M07D04",152
" ","2009M07D05",139
" ","2009M07D06",131
" ","2009M07D07",127
" ","2009M07D08",129
" ","2009M07D09",114
" ","2009M07D10",129
" ","2009M07D11",131
" ","2009M07D12",130
" ","2009M07D13",145
" ","2009M07D14",147
" ","2009M07D15",143
" ","2009M07D16",162
" ","2009M07D17",149
" ","2009M07D18",152
" ","2009M07D19",130
" ","2009M07D20",143
" ","2009M07D21",146
" ","2009M07D22",117
" ","2009M07D23",160
" ","2009M07D24",149
" ","2009M07D25",127
" ","2009M07D26",137
" ","2009M07D27",120
" ","2009M07D28",170
" ","2009M07D29",131
" ","2009M07D30",137
" ","2009M07D31",123
" ","2009M08D01",128
" ","2009M08D02",148
" ","2009M08D03",152
" ","2009M08D04",122
" ","2009M08D05",135
" ","2009M08D06",134
" ","2009M08D07",133
" ","2009M08D08",149
" ","2009M08D09",148
" ","2009M08D10",135
" ","2009M08D11",127
